Size,Variant,TotalOperations,OpsA_FindByBirthday,OpsB_UpdateGroup,OpsC_FindGroup,Memory
100,Variant_1_Base,15368579,1280869,12806430,1281280,19280
100,Variant_2_Op1_Opt,15628601,1302996,13023931,1301674,19328
100,Variant_3_Op3_Opt,17752664,1480954,14791861,1479849,19336
1000,Variant_1_Base,951428,78861,793133,79434,192080
1000,Variant_2_Op1_Opt,1002569,83106,836072,83391,192128
1000,Variant_3_Op3_Opt,477791,39849,398089,39853,192136
10000,Variant_1_Base,71603,5906,59871,5826,1920080
10000,Variant_2_Op1_Opt,74243,6248,61823,6172,1920128
10000,Variant_3_Op3_Opt,99845,8286,83344,8215,1920136
100000,Variant_1_Base,4666,402,3895,369,19200080
100000,Variant_2_Op1_Opt,4289,361,3550,378,19200128
100000,Variant_3_Op3_Opt,22101,1806,18420,1875,19200136
